 ,Image_ID,ROI_Area,PVALB,VIP,GFRA1,CCKAR,MET,PIEZO1,CHAT,FOXO1,SLC17a7,CDH13,QRFPR,Mab21L1
3554,20-62-S1,439,1.367,0.228,0,0.683,9.795,1.595,0.456,0,10.023,0,0.456,0
3555,20-62-S1,1125,0.444,0.444,0,0.178,2.222,1.867,0.622,1.244,27.111,0.178,0.889,0
3556,20-62-S1,1158,0.259,0,0,0,1.727,0.95,0,0.086,14.767,0.086,0.086,0
3557,20-62-S1,1800,0.333,0.5,0,0.056,0.222,0.556,0,0.222,1.667,11.5,0.056,0
3558,20-62-S1,971,0.309,0,0,0,1.03,0.309,0,0,7.312,0,0,0
3559,20-62-S1,1289,0.543,0,0,0,0.078,0.078,0,0,12.258,0.078,0,0
3560,20-62-S1,340,5,0,0,0,0,0,0,0,0.294,3.824,0.294,0
3561,20-62-S1,2047,0.342,0.098,0,0.147,1.27,0.44,0.049,0.928,18.71,0.049,0.391,0
3562,20-62-S1,2577,0.078,0.155,0,0.155,0.388,1.513,0.698,0,22.778,0.349,3.027,0.078
3563,20-62-S1,959,0.209,0.104,0,0.104,0.73,1.147,0.313,0,13.139,4.901,1.46,0
3564,20-62-S1,901,0.444,0,0,0,2.886,0.222,0.222,0,10.211,7.103,0.111,0
3565,20-62-S1,1458,0.617,0.069,0,0,1.783,0.412,0,0,17.215,0,0,0
3566,20-62-S1,1251,0.08,0,0,0.16,0.08,0.719,0,0.08,1.679,12.47,0.16,0
3567,20-62-S1,1902,0.368,0.158,0,0.105,0.315,0.789,0.105,0.158,18.927,0,0.315,0
3568,20-62-S1,326,0.307,0,0,0,0,0,0.92,0,7.975,7.975,0,0
3569,20-62-S1,329,0.608,0,0,0,5.167,0.912,0.304,0,13.374,16.413,1.216,0
3570,20-62-S1,3635,1.1,0.083,0,0.138,0.193,0.523,0,0.138,25.062,0.138,2.063,0.028
3571,20-62-S1,1586,13.934,0,0,0.126,1.892,1.45,0.063,0.631,14.88,4.224,2.333,0
3572,20-62-S1,1553,0.837,0.064,0,0.129,1.739,0.966,0,0,26.658,0,0,0
3573,20-62-S1,1199,0.334,0.751,0,0.167,0.083,0.834,0.083,0,1.084,6.339,0.334,0
3574,20-62-S1,357,1.401,0,0,0.28,1.12,0.56,0,0.84,1.961,0,1.12,0
3575,20-62-S1,2123,0.471,1.602,0,1.13,4.899,1.46,0.942,0.942,10.363,7.018,1.46,0.471
3576,20-62-S1,1342,1.192,0,0,0.075,0.447,0.969,0.596,0.075,2.534,3.875,0,0
3577,20-62-S1,1458,3.155,0.069,0,0,0.412,1.166,0,0,0.549,32.716,0.069,0
3578,20-62-S1,1327,0.528,0,0,0,2.638,0.603,0.075,0.452,6.556,0,0.226,0
3579,20-62-S1,1736,1.152,1.094,0,0.864,5.184,2.247,0.749,0.403,8.929,6.106,1.728,0
3580,20-62-S1,891,20.314,0,0,0,0.112,0.224,0,0,0.898,0,0,0
3581,20-62-S1,507,0,0,0,0,4.734,1.775,0,0,15.779,0.394,0,0
3582,20-62-S1,634,0.473,0,0,0.158,0,0.789,0,0,2.839,11.041,0.315,0
3583,20-62-S1,1598,0.375,0,0,0,4.506,0.563,0,0,6.195,0.563,0,0
3584,20-62-S1,757,1.057,0.661,0,0.132,5.02,3.038,0,0.132,25.76,2.378,0.661,0
3585,20-62-S1,1711,0.526,0,0,0.058,13.676,2.747,0.058,0.058,15.313,1.636,0,0
3586,20-62-S1,1608,0.249,0.249,0,0.249,3.109,1.99,0.187,0.311,22.575,1.057,0.871,0
3587,20-62-S1,2316,0.216,0.173,0,0.086,1.9,1.382,0.043,0.777,23.446,0,0.907,0
3588,20-62-S1,1671,1.496,0,0,0,0.06,0.838,0,0.06,0.539,20.527,0.18,0
3589,20-62-S1,365,0.274,0,0,0,0.548,0,0,0.548,5.479,2.192,0,0
3590,20-62-S1,785,1.019,0,0,0,3.949,0.127,0,0,6.369,0,0,0
3591,20-62-S1,82,0,0,0,0,4.878,0,0,0,8.537,0,0,0
3592,20-62-S1,1456,1.099,0,0,0,0.137,0.618,0,0,1.923,52.335,0.343,0
3593,20-62-S1,438,0,0,0,0,0.685,0,0,0,1.37,15.525,0,0
3594,20-62-S1,2629,0.076,0,0,0.076,0.723,0.875,0.114,0.304,20.388,10.232,0.228,0
3595,20-62-S1,1545,0,0,0,0.129,12.945,2.589,0,0,15.405,0.259,0,0
3596,20-62-S1,458,0,0,0,0.218,0,0.437,0.218,0,23.799,0.218,0,0
3597,20-62-S1,1834,0.545,0.164,0,0.055,0.055,1.254,0.273,0.055,25.191,0.382,0.927,0
3598,20-62-S1,1293,0.387,0,0,0,0.232,0.541,0,0.077,6.806,1.083,0.077,0
3599,20-62-S1,1931,1.709,0.311,0,0.155,0.104,0.673,0.207,0.466,22.061,0,0.466,0
3600,20-62-S1,2876,25.382,0,0,0.035,2.538,0.348,0.07,1.46,5.25,0.139,0.452,0
3601,20-62-S1,1155,2.165,0,0,0,0.606,0.346,0,0,10.736,0.346,0.087,0
3602,20-62-S1,1090,0.183,0.092,0,0.275,0.183,1.743,0,0.826,7.064,0.367,0.734,0.092
3603,20-62-S1,1796,1.336,0.278,0,0.223,1.949,0.445,0.223,0.111,6.069,1.336,0.835,0
3604,20-62-S1,1967,0.356,0.153,0,0.305,0.254,0.915,0,0.254,7.219,0.102,0.356,0
3605,20-62-S1,1874,36.66,0.107,0,0.587,1.601,0.587,0.213,0.907,2.935,2.401,0.694,0.107
3606,20-62-S1,1278,0.235,0,0,0.078,7.746,0.626,0.391,0,29.969,0.078,0.235,0
3607,20-62-S1,836,0.12,0,0,0,0.12,0.239,0,0.239,11.842,0.239,0,0
3608,20-62-S1,1471,0.068,0.544,0,0.068,1.971,1.835,0.136,0.068,11.217,0.68,0.136,0
3609,20-62-S1,1484,1.078,0.202,0,0.135,0.674,1.078,0.135,2.493,33.827,0.674,0.404,0
3610,20-62-S1,2091,34.242,0,0,0.048,0.143,0.861,0.048,2.582,0.096,8.943,0,0
3611,20-62-S1,1366,0.22,26.72,0,0,0.146,0.732,0.146,0,0,3.66,0,0.22
3612,20-62-S1,401,0.249,0,0,0,0,0.998,0,0.249,10.973,0.998,0,0.249
3613,20-62-S1,1019,0.687,0,0,0.294,1.178,1.178,0,0.098,0.491,1.766,0,0
3614,20-62-S1,1841,0.109,0.163,0,0.054,5.975,1.032,0,0.815,22.759,0.652,0.706,0
3615,20-62-S1,2346,0,0.171,0,0.085,0.426,0.98,0,0.171,14.365,0,1.748,0
3616,20-62-S1,1288,22.593,0,0,0,0.932,0.233,0,1.009,6.677,5.047,0.233,0
3617,20-62-S1,2020,29.554,0,0,0.05,0.248,0.941,0,1.931,1.485,8.366,0.248,0
3618,20-62-S1,2418,18.156,0.331,0,0.372,3.433,0.868,0.207,0.207,9.098,0.496,1.282,0
3619,20-62-S1,1729,10.873,0,0,0,2.95,0.521,0.116,0.174,6.536,0.116,0.174,0
3620,20-62-S1,1405,0.569,0.214,0,0.142,0.142,0.712,0,0.142,1.851,14.021,0.641,0
3621,20-62-S1,3061,0.098,0.098,0,0.163,0.294,1.829,0.686,0.065,11.794,0.359,1.797,0.033
3622,20-62-S1,1781,0.337,0.168,0,0.168,5.222,0.842,0.281,0.393,22.852,0.225,0.393,0.056
3623,20-62-S1,1410,16.879,0,0,0.071,0.355,0.213,0,0,0.213,6.879,0.071,0
3624,20-62-S1,1338,0.448,0.673,0,0.673,5.755,0.972,0.224,0,19.88,0,0.224,0.149
3625,20-62-S1,366,3.825,0,0,0,0.82,0.546,0,0,0.546,9.29,0,0
3626,20-62-S1,1985,0.202,0,0,0.302,0.957,1.31,0,0,19.899,0.302,0.101,0
3627,20-62-S1,1193,0.754,0.922,0,0.587,0.754,1.006,0.419,0.419,19.531,0,1.006,0
3628,20-62-S1,852,35.446,0,0,0,0,0,0,3.052,0.235,2.113,0,0
3629,20-62-S1,1138,0.264,0.439,0,0.351,0.351,0.967,0.439,0.264,18.102,0,1.494,0
3630,20-62-S1,1189,0.084,0,0,0,0.589,0.757,0,1.009,26.493,0.925,0.925,0
3631,20-62-S1,1459,0.206,0,0,0,6.443,0.548,0,0,7.951,0.754,0,0
3632,20-62-S1,3265,22.481,0.123,0,0.429,0.429,1.562,0.337,0.949,25.391,7.718,3.461,0.061
3633,20-62-S1,1555,0.193,0,0,0.064,1.479,0.579,0.064,0,0.772,30.74,0.064,0.064
3634,20-62-S1,1631,0.307,0.184,0,0.245,1.165,0.981,0.245,0.184,18.148,0.674,0.613,0.123
3635,20-62-S1,3072,3.809,0.13,0,0.293,1.042,0.879,0.098,0.033,9.277,3.743,0.749,0.065
3636,20-62-S1,1563,0.512,0,0,0,11.708,1.536,0,0,24.952,0.064,0,0
3637,20-62-S1,879,0.114,0,0,0,4.096,1.024,0,0,39.249,1.138,0,0
